gid;versienr;kaartnr;datering;uitvoering;ulxw;ulyw;urxw;uryw;llxw;llyw;lrxw;lryw;ulxi;ulyi;urxi;uryi;llxi;llyi;lrxi;lryi;imgfn;breedte;hoogte;kleuren
162;162;J4;1950;Druk in zwart;-38775;16125;-36400;16125;-38775;14250;-36400;14250;325;9190;11544;9204;348;341;11562;364;B00000025418;11922;9535;zwart
125;125;G4;1944-1950;Druk in zwart, blauw, groen en twee tinten bruin;-38775;19875;-36400;19875;-38775;18000;-36400;18000;439;9250;11630;9224;426;411;11605;408;B00000025381;12039;9651;zwart,blauw,groen,twee tinten bruin
75;75;E4;1943;Druk in zwart en blauw;-38775;23625;-36400;23625;-38775;21750;-36400;21750;466;10308;12898;10291;454;484;12896;478;B00000025332;13321;10671;zwart,blauw
76;76;E4;1943;Druk in zwart, blauw, groen en twee tinten bruin;-38775;23625;-36400;23625;-38775;21750;-36400;21750;441;10287;12864;10256;431;463;12863;448;B00000025333;13256;10686;zwart,blauw,groen,twee tinten bruin
77;77;E5;1941;Druk in zwart en blauw;-36400;23625;-34025;23625;-36400;21750;-34025;21750;420;10250;12861;10245;434;426;12855;436;B00000025334;13304;10622;zwart,blauw
80;80;E5;1941-1956;Druk in zwart en blauw;-36400;23625;-34025;23625;-36400;21750;-34025;21750;479;10271;12946;10271;485;444;12948;461;B00000025336;13385;10720;zwart,blauw
146;146;H1;1954;Druk in zwart, blauw, groen en twee tinten bruin;-44900;18000;-43525;18000;-44900;16125;-43525;16125;446;9269;11635;9289;471;431;11647;458;B00000025402;12092;9730;zwart,blauw,groen,twee tinten bruin
154;154;H4;1950;Druk in zwart en blauw;-38775;18000;-36400;18000;-38775;16125;-36400;16125;330;9210;11533;9211;321;358;11527;376;B00000025410;11848;9483;zwart,blauw
157;157;J2;1954;Druk in zwart en blauw;-43525;16125;-41150;16125;-43525;14250;-41150;14250;416;9307;11637;9349;461;456;11670;511;B00000025413;12074;9779;zwart,blauw
158;158;J2;1954;Druk in zwart, blauw, groen en twee tinten bruin;-43525;16125;-41150;16125;-43525;14250;-41150;14250;389;9229;11600;9211;386;374;11593;374;B00000025414;11989;9587;zwart,blauw,groen,twee tinten bruin
17;17;B6;1942;Druk in zwart en blauw;-34025;29250;-31650;29250;-34025;27375;-31650;27375;423;10242;12829;10241;424;416;12829;423;B00000025274;13255;10590;zwart,blauw
